Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
AUD / CAD,澳元 / 加元,0.89877,-0.0789344954862796,-0.0007099999999999,0.89887,0.89901,0.89989,0.8975403,Neutral
AUD / CHF,澳元 / 瑞士法郎,0.56562,-0.158864647320485,-0.0009,0.56558,0.56579,0.56671,0.5651,Sell
AUD / EUR,澳元 / 欧元,0.60302,-0.1589456604523264,-0.0009599999999999,0.603,0.60333,0.6044,0.6027,Neutral
AUD / GBP,澳元 / 英镑,0.5014,-0.2109620666321818,-0.00106,0.50139,0.50186,0.50246,0.5014,Strong Sell
AUD / JPY,澳元 / 日元,95.403,-0.5172108155455167,-0.4959999999999951,95.405,95.418,95.978,95.281,Strong Sell
AUD / NZD,澳元 / 新西兰元,1.10494,0.0009050347080869,1e-05,1.1049,1.10514,1.10679,1.10394,Buy
CAD / AUD,加元 / 澳元,1.112,0.0900090009001,0.0010000000000001,1.112,1.1128,1.1136,1.1115,Buy
CAD / CHF,加元 / 瑞士法郎,0.62915,-0.0619499952346159,-0.00039,0.62927,0.62939,0.63001,0.62915,Sell
CAD / EUR,加元 / 欧元,0.6707,-0.0893788172203254,-0.0006,0.6707,0.6711,0.6715,0.6707,Buy
CAD / GBP,加元 / 英镑,0.5576,-0.10748835542817,-0.0006,0.5576,0.5584,0.5585,0.5576,Sell
CAD / JPY,加元 / 日元,106.143,-0.4202981489994402,-0.4479999999999933,106.139,106.157,106.696,106.059,Strong Sell
CAD / NZD,加元 / 新西兰元,1.228,0.0651890482398885,0.0007999999999999,1.228,1.23,1.2294,1.2277,Buy
CHF / AUD,瑞士法郎 / 澳元,1.7675,0.2018209236141823,0.00356,1.76671,1.76882,1.7693,1.7643,Strong Buy
CHF / CAD,瑞士法郎 / 加元,1.5884,0.0945239145503848,0.0015,1.5884,1.59,1.5886,1.5863,Buy
CHF / EUR,瑞士法郎 / 欧元,1.0659,0.018767007600636,0.0001999999999999,1.0659,1.0667,1.0667,1.0659,Strong Buy
CHF / GBP,瑞士法郎 / 英镑,0.8864,-0.0225580870742261,-0.0002,0.8864,0.8872,0.8874,0.8864,Sell
CHF / JPY,瑞士法郎 / 日元,168.657,-0.3185654507198677,-0.5389999999999873,168.648,168.679,169.427,168.51,Sell
CHF / NZD,瑞士法郎 / 新西兰元,1.9532,0.1743768591650461,0.0034,1.9532,1.954,1.9543,1.9493,Strong Buy
EUR / AUD,欧元 / 澳元,1.65776,0.1752414101494931,0.0028999999999999,1.65783,1.65802,1.65954,1.65431,Neutral
EUR / CAD,欧元 / 加元,1.49014,0.133050209654882,0.00198,1.49014,1.49033,1.4903,1.4877,Sell
EUR / CHF,欧元 / 瑞士法郎,0.93783,-0.007463482247564,-6.99999999999e-05,0.93778,0.93793,0.93792,0.93717,Sell
EUR / GBP,欧元 / 英镑,0.83161,-0.0216400774233964,-0.00018,0.83163,0.83169,0.83218,0.83145,Sell
EUR / JPY,欧元 / 日元,158.18,-0.3596827736518182,-0.570999999999998,158.175,158.194,158.858,157.922,Strong Sell
EUR / NZD,欧元 / 新西兰元,1.83188,0.1519873161664209,0.00278,1.8318,1.83224,1.83443,1.82786,Buy
GBP / AUD,英镑 / 澳元,1.99341,0.213658026503643,0.0042499999999998,1.99336,1.99369,1.99484,1.98904,Buy
GBP / CAD,英镑 / 加元,1.79146,0.1173603970134568,0.0020999999999999,1.79173,1.79201,1.7919,1.78905,Buy
GBP / CHF,英镑 / 瑞士法郎,1.1276,0.0248376680977748,0.0002799999999998,1.1276,1.12778,1.12771,1.1264,Buy
GBP / EUR,英镑 / 欧元,1.20228,0.0374428995781484,0.00045,1.20228,1.20254,1.2025,1.20194,Buy
GBP / JPY,英镑 / 日元,190.195,-0.3108161938906104,-0.5930000000000177,190.195,190.209,190.961,189.911,Strong Sell
GBP / NZD,英镑 / 新西兰元,2.20249,0.1915133649944523,0.00421,2.20271,2.20306,2.20343,2.19733,Strong Buy
JPY / AUD,日元 / 澳元,0.010477,0.5277298023411964,5.49999999999e-05,0.010477,0.010485,0.01049,0.010423,Strong Buy
JPY / CAD,日元 / 加元,0.009418,0.4265301770100246,4e-05,0.009418,0.009426,0.009423,0.009373,Strong Buy
JPY / CHF,日元 / 瑞士法郎,0.005925,0.2707733965137844,1.59999999999e-05,0.005928,0.005929,0.005934,0.005902,Buy
JPY / EUR,日元 / 欧元,0.0063214,0.3524257048514097,2.21999999999e-05,0.0063214,0.0063222,0.0063296,0.0062967,Strong Buy
JPY / GBP,日元 / 英镑,0.005254,0.3246133282413529,1.69999999999e-05,0.005254,0.005262,0.00526,0.005236,Strong Buy
JPY / NZD,日元 / 新西兰元,0.01158,0.5208333333333272,5.99999999999e-05,0.01158,0.011584,0.011591,0.011518,Strong Buy
NZD / AUD,新西兰元 / 澳元,0.90478,0.0298504162474701,0.0002699999999999,0.90478,0.90517,0.90527,0.9047,Neutral
NZD / CAD,新西兰元 / 加元,0.81336,-0.0208965864811381,-0.00017,0.81336,0.81369,0.81443,0.81,Sell
NZD / CHF,新西兰元 / 瑞士法郎,0.51185,-0.1346236391305982,-0.0006899999999999,0.51191,0.51205,0.51291,0.5106,Sell
NZD / EUR,新西兰元 / 欧元,0.5454,-0.1793623485486256,-0.0009799999999999,0.5457,0.54598,0.54693,0.5454,Sell
NZD / GBP,新西兰元 / 英镑,0.45386,-0.169368497459471,-0.0007699999999999,0.45386,0.45408,0.45491,0.45386,Strong Sell
NZD / JPY,新西兰元 / 日元,86.334,-0.458884840658576,-0.3979999999999961,86.334,86.356,86.865,86.257,Strong Sell
